,Breast Cancer,Heart Disease,Obesity,Diabetes
Ungrouped,0.968648,0.284982,0.931854,0.359395
Random,0.967704,0.264083,0.785068,0.353783
Greedy,0.959279,0.270709,0.854841,0.338184
K-plus,0.975128,0.301844,0.732650,0.337273
Bicriterion,0.966207,0.255614,0.882545,0.341427
