,Breast Cancer,Heart Disease,Obesity,Diabetes
Ungrouped,0.968002,0.279527,0.932030,0.279427
Random,0.965672,0.257127,0.783016,0.284084
Greedy,0.958799,0.287490,0.854085,0.254521
K-plus,0.972234,0.284296,0.730650,0.315408
Bicriterion,0.965375,0.259331,0.881902,0.262166
