,Heart Disease,Obesity,Diabetes
Ungrouped,0.174690,0.147945,0.052269
Random,0.315304,0.123361,0.045646
Greedy,0.358814,0.146256,0.067215
K-plus,0.282425,0.200084,0.072946
Bicriterion,0.233313,0.132572,0.042084
