,Heart Disease,Obesity,Diabetes
Ungrouped,0.611888,1.266437,0.965964
Random,0.268491,1.177848,0.898283
Greedy,1.598558,1.111915,0.858838
K-plus,1.933566,1.176024,1.205307
Bicriterion,0.923705,1.239648,0.961682
