,Breast Cancer,Heart Disease,Obesity,Diabetes
Ungrouped,0.970551,0.633273,0.933400,0.569996
Random,0.969786,0.619168,0.791038,0.564610
Greedy,0.961779,0.634300,0.860372,0.555206
K-plus,0.976735,0.655738,0.740860,0.559276
Bicriterion,0.968286,0.623581,0.886374,0.557709
