accuracy,f1_score,Disparate Impact,Equal Opportunity,Equalized Odds,Predictive Parity,N-Sigma (ErrorRate),Average distance from origin
0.5595243944381664,0.33161492512438445,0.8309017358925226,0.0008474553192839851,0.0020201953406707718,0.029074238832435095,0.05914940223362518,0.09945527932352638
0.5562324964378715,0.33095091072856236,0.8317646368731121,0.0047273397008684714,0.03201971077502774,0.02362046905339621,0.0562316025953666,0.10233781086857459
0.554119785780966,0.3326418412943377,1.2518538362865728,0.0004996790099460746,0.006991778888792544,0.03911970587944402,0.0786637302127688,0.09901392364313388
0.5485186458998673,0.3224184901462974,0.8749201802773134,0.004208751792883381,0.01037031719705861,0.0038170227643825605,0.0014527024196650821,0.0933792031023184
0.5504839581388493,0.32016517769727426,0.8010999476529611,2.7160338422760333e-09,7.828784620578233e-09,0.020886292748289903,0.042048340492232446,0.09392470468076235
0.5514666142583403,0.3232881815091364,1.1102885306093815,0.002868101561637859,0.002868101561637859,0.01937825845887431,0.03558728124331184,0.0967075983003834
0.5574116837812607,0.33359439570886346,1.0210532668591856,0.0008228083335282133,0.007062640917430474,0.03518619266626499,0.07133364590299897,0.09654269044259436
0.5569203557215152,0.33308089753247533,0.8890365153789729,0.0008410408265464575,0.018437462180742825,0.027630384930586005,0.05888704575014344,0.10009240957249335
0.5499926300791038,0.3194502827765499,0.933000786073926,0.000368684846553502,0.024049997728047168,0.03967746156598151,0.08215096097572357,0.10105947815500826
0.553235395273424,0.33184584031352865,0.7192505811329033,0.0013712635636665693,0.028823491555441838,0.01604060768632387,0.037642748247396,0.09634014840595154
