accuracy,f1_score,Disparate Impact,Equal Opportunity,Equalized Odds,Predictive Parity,N-Sigma (ErrorRate),Average distance from origin
0.5487643099297401,0.3241704568309529,0.7879440221366787,0.001133955280692267,0.012819998816153144,0.029814926793073737,0.06222415448959344,0.09322039392067348
0.5487643099297401,0.3241704568309529,0.7879440221366787,0.001133955280692267,0.012819998816153144,0.029814926793073737,0.06222415448959344,0.09322146257774318
0.5487643099297401,0.3241704568309529,0.7879440221366787,0.001133955280692267,0.012819998816153144,0.029814926793073737,0.06222415448959344,0.0932206462155146
0.5487643099297401,0.3241704568309529,0.7879440221366787,0.001133955280692267,0.012819998816153144,0.029814926793073737,0.06222415448959344,0.09322348683047443
0.5487643099297401,0.3241704568309529,0.7879440221366787,0.001133955280692267,0.012819998816153144,0.029814926793073737,0.06222415448959344,0.09322180174943039
0.5487643099297401,0.3241704568309529,0.7879440221366787,0.001133955280692267,0.012819998816153144,0.029814926793073737,0.06222415448959344,0.09322315021379031
0.5487643099297401,0.3241704568309529,0.7879440221366787,0.001133955280692267,0.012819998816153144,0.029814926793073737,0.06222415448959344,0.09322172466091565
0.5487643099297401,0.3241704568309529,0.7879440221366787,0.001133955280692267,0.012819998816153144,0.029814926793073737,0.06222415448959344,0.09322251475027943
0.5487643099297401,0.3241704568309529,0.7879440221366787,0.001133955280692267,0.012819998816153144,0.029814926793073737,0.06222415448959344,0.09322001267599153
0.5487643099297401,0.3241704568309529,0.7879440221366787,0.001133955280692267,0.012819998816153144,0.029814926793073737,0.06222415448959344,0.09322292559461696
