accuracy,f1_score,Disparate Impact,Equal Opportunity,Equalized Odds,Predictive Parity,N-Sigma (ErrorRate),Average distance from origin
0.5901639344262295,0.20920314253647584,0.0,0.0,0.11764705190311459,0.0,0.339153045942423,0.10782506596661344
0.5901639344262295,0.20920314253647584,0.0,0.0,0.11764705190311459,0.0,0.339153045942423,0.1078335662024531
0.5901639344262295,0.20920314253647584,0.0,0.0,0.11764705190311459,0.0,0.339153045942423,0.10780805631656624
0.5901639344262295,0.20920314253647584,0.0,0.0,0.11764705190311459,0.0,0.339153045942423,0.10785072637384036
0.5901639344262295,0.20920314253647584,0.0,0.0,0.11764705190311459,0.0,0.339153045942423,0.1079733206566753
0.5901639344262295,0.20920314253647584,0.0,0.0,0.11764705190311459,0.0,0.339153045942423,0.10795555015422803
0.5901639344262295,0.20920314253647584,0.0,0.0,0.11764705190311459,0.0,0.339153045942423,0.10782643543115815
0.5901639344262295,0.20920314253647584,0.0,0.0,0.11764705190311459,0.0,0.339153045942423,0.1077935012254208
0.5901639344262295,0.20920314253647584,0.0,0.0,0.11764705190311459,0.0,0.339153045942423,0.1077993356368719
0.5901639344262295,0.20920314253647584,0.0,0.0,0.11764705190311459,0.0,0.339153045942423,0.10783608816377509
