accuracy,f1_score,Disparate Impact,Equal Opportunity,Equalized Odds,Predictive Parity,N-Sigma (ErrorRate),Average distance from origin
0.639344262295082,0.28153846153846157,0.0,0.0,0.05882352595155729,0.0,0.23843046385686,0.10638955577023618
0.5901639344262295,0.17349397590361446,0.0,0.0,0.0,0.0,0.2325620883693733,0.10790627410055287
0.6065573770491803,0.22427401340282946,0.0,0.49999987500003124,0.49999987500003124,0.49999987500003124,0.21185489452189366,0.1302848843660999
0.639344262295082,0.32132478632478634,0.0,0.24999993750001562,0.24999993750001562,0.499999750000125,0.23843046385686,0.12478219373561392
0.6065573770491803,0.20227642276422766,0.2692307692307693,0.24999993750001562,0.24999993750001562,0.9999990000010001,0.1257312734274396,0.12229225212154364
0.6229508196721312,0.22275769745649265,0.0,0.0,0.0,0.0,0.1257312734274396,0.11149496980459563
0.6065573770491803,0.2453413654618474,0.0,0.24999993750001562,0.24999993750001562,0.33333322222225925,0.3131768007978228,0.09629281979064302
0.639344262295082,0.24486356340288923,0.33653846153846156,0.16666663888889352,0.16666663888889352,0.9999990000010001,0.2696372070693836,0.08073204604073725
0.6229508196721312,0.2309298733395119,0.0,0.24999993750001562,0.24999993750001562,0.499999750000125,0.21761510681346383,0.10744580297516397
0.6065573770491803,0.24573170731707314,0.0,0.24999993750001562,0.24999993750001562,0.33333322222225925,0.3131768007978228,0.11285486545265885
